Time [Sec] - Base	g - Base	Time [Sec] - Ground	g - Ground
0,0284	-0,0302396	0,0284	0,0110933
0,0286	-0,0351186	0,0286	0,0355304
0,0288	-0,0396462	0,0288	0,0650552
0,029	-0,0434681	0,029	0,0946876
0,0292	-0,046353	0,0292	0,118747
0,0294	-0,0482116	0,0294	0,131699
0,0296	-0,0490958	0,0296	0,129037
0,0298	-0,0491776	0,0298	0,108066
0,03	-0,0487126	0,03	0,0684344
0,0302	-0,0479945	0,0302	0,0123443
0,0304	-0,0473048	0,0304	-0,055622
0,0306	-0,0468669	0,0306	-0,129032
0,0308	-0,0468094	0,0308	-0,200428
0,031	-0,0471429	0,031	-0,262338
0,0312	-0,0477548	0,0312	-0,308285
0,0314	-0,0484213	0,0314	-0,333696
0,0316	-0,0488364	0,0316	-0,336526
0,0318	-0,0486516	0,0318	-0,317502
0,032	-0,047524	0,032	-0,279973
0,0322	-0,0451644	0,0322	-0,229389
0,0324	-0,0413818	0,0324	-0,172435
0,0326	-0,0361159	0,0326	-0,116048
0,0328	-0,0294573	0,0328	-0,066385
0,033	-0,021648	0,033	-0,0279591
0,0332	-0,0130655	0,0332	-0,00304773
0,0334	-0,00419187	0,0334	0,00852453
0,0336	0,00443186	0,0336	0,00918864
0,0338	0,0122572	0,0338	0,00308958
0,034	0,018783	0,034	-0,00472695
0,0342	0,0236067	0,0342	-0,00928327
0,0344	0,0264668	0,0344	-0,00656177
0,0346	0,0272709	0,0346	0,00577892
0,0348	0,0261074	0,0348	0,0279455
0,035	0,0232386	0,035	0,0580205
0,0352	0,0190782	0,0352	0,0922594
0,0354	0,0141513	0,0354	0,125743
0,0356	0,00904696	0,0356	0,153275
0,0358	0,00436352	0,0358	0,170265
0,036	0,000652223	0,036	0,173569
0,0362	-0,00163231	0,0362	0,162085
0,0364	-0,00217208	0,0364	0,136949
0,0366	-0,000814309	0,0366	0,101414
0,0368	0,00241941	0,0368	0,0603286
0,037	0,00733898	0,037	0,0193385
0,0372	0,0136046	0,0372	-0,016029
0,0374	0,0207614	0,0374	-0,0412908
0,0376	0,0282805	0,0376	-0,0537554
0,0378	0,0356069	0,0378	-0,052972
0,038	0,0422086	0,038	-0,0408033
0,0382	0,0476233	0,0382	-0,0211075
0,0384	0,0514965	0,0384	0,000917575
0,0386	0,0536085	0,0386	0,0196339
0,0388	0,0538901	0,0388	0,0299259
0,039	0,052425	0,039	0,0280922
0,0392	0,0494381	0,0392	0,012513
0,0394	0,0452739	0,0394	-0,0160406
0,0396	0,0403642	0,0396	-0,0544718
0,0398	0,0351869	0,0398	-0,0978168
0,04	0,0302234	0,04	-0,140009
0,0402	0,0259172	0,0402	-0,174831
0,0404	0,0226345	0,0404	-0,196888
0,0406	0,0206356	0,0406	-0,202468
0,0408	0,0200591	0,0408	-0,190119
0,041	0,0209143	0,041	-0,160887
0,0412	0,0230929	0,0412	-0,118153
0,0414	0,0263866	0,0414	-0,0671149
