Time [Sec] - Base	g - Base	Time [Sec] - Ground	g - Ground
1,0512	0,126993	1,0512	0,0793302
1,0514	0,126258	1,0514	0,0550419
1,0516	0,122234	1,0516	0,017257
1,0518	0,113647	1,0518	-0,0276134
1,052	0,0996907	1,052	-0,0713853
1,0522	0,0801722	1,0522	-0,105052
1,0524	0,0555774	1,0524	-0,119932
1,0526	0,0270554	1,0526	-0,108805
1,0528	-0,00371543	1,0528	-0,0669826
1,053	-0,034705	1,053	0,00694104
1,0532	-0,0637759	1,0532	0,110682
1,0534	-0,0889271	1,0534	0,238313
1,0536	-0,108519	1,0536	0,380772
1,0538	-0,121452	1,0538	0,526762
1,054	-0,127264	1,054	0,663932
1,0542	-0,12615	1,0542	0,780226
1,0544	-0,1189	1,0544	0,865185
1,0546	-0,106755	1,0546	0,911063
1,0548	-0,0912347	1,0548	0,913672
1,055	-0,0739395	1,055	0,872765
1,0552	-0,0563453	1,0552	0,792068
1,0554	-0,0396705	1,0554	0,678807
1,0556	-0,0247543	1,0556	0,542988
1,0558	-0,0120357	1,0558	0,396323
1,056	-0,00157394	1,056	0,25116
1,0562	0,0068714	1,0562	0,119284
1,0564	0,01372	1,0564	0,0109441
1,0566	0,0194463	1,0566	-0,0660292
1,0568	0,0244622	1,0568	-0,106775
1,057	0,0290184	1,057	-0,109744
1,0572	0,033181	1,0572	-0,0766743
1,0574	0,0368176	1,0574	-0,0123784
1,0576	0,0396606	1,0576	0,0757557
1,0578	0,0413857	1,0578	0,178461
1,058	0,0417079	1,058	0,285356
1,0582	0,0404843	1,0582	0,385929
1,0584	0,0377736	1,0584	0,470502
1,0586	0,0338822	1,0586	0,531193
1,0588	0,0293319	1,0588	0,562833
1,059	0,0248037	1,059	0,563666
1,0592	0,021031	1,0592	0,535731
1,0594	0,0186711	1,0594	0,484988
1,0596	0,0181809	1,0596	0,420916
1,0598	0,0197146	1,0598	0,355755
1,06	0,023048	1,06	0,303344
1,0602	0,0275961	1,0602	0,277568
1,0604	0,0324406	1,0604	0,290719
1,0606	0,0364661	1,0606	0,351745
1,0608	0,038508	1,0608	0,464749
1,061	0,0375243	1,061	0,627904
1,0612	0,0327777	1,0612	0,832994
1,0614	0,0239743	1,0614	1,06561
1,0616	0,011347	1,0616	1,30638
1,0618	-0,00431706	1,0618	1,53259
1,062	-0,0217423	1,062	1,72062
1,0622	-0,0392899	1,0622	1,8486
1,0624	-0,0551457	1,0624	1,89895
1,0626	-0,0675363	1,0626	1,86065
1,0628	-0,0749426	1,0628	1,73105
1,063	-0,0762939	1,063	1,51637
1,0632	-0,0710955	1,0632	1,2316
1,0634	-0,0594955	1,0634	0,899058
1,0636	-0,0422626	1,0636	0,54606
1,0638	-0,0206908	1,0638	0,202028
1,064	0,00356202	1,064	-0,104736
1,0642	0,0286809	1,0642	-0,350298
1,0644	0,0529052	1,0644	-0,517537
1,0646	0,0747323	1,0646	-0,59804
1,0648	0,0930728	1,0648	-0,592749
1,065	0,107341	1,065	-0,511445
1,0652	0,117477	1,0652	-0,371249
1,0654	0,123887	1,0654	-0,194174
1,0656	0,12733	1,0656	-0,0041465
1,0658	0,128753	1,0658	0,176024
1,066	0,129109	1,066	0,327431
1,0662	0,129187	1,0662	0,437152
1,0664	0,12947	1,0664	0,499324
1,0666	0,13005	1,0666	0,51523
1,0668	0,130612	1,0668	0,492289
1,067	0,130474	1,067	0,442276
1,0672	0,128699	1,0672	0,379019
1,0674	0,12424	1,0674	0,315968
1,0676	0,116116	1,0676	0,264026
1,0678	0,10358	1,0678	0,229975
1,068	0,0862667	1,068	0,215703
1,0682	0,0642834	1,0682	0,218349
1,0684	0,0382509	1,0684	0,231243
1,0686	0,00926938	1,0686	0,245486
1,0688	-0,0211738	1,0688	0,251854
1,069	-0,0513477	1,069	0,242627
1,0692	-0,0794538	1,0692	0,213095
1,0694	-0,103814	1,0694	0,162374
1,0696	-0,123057	1,0696	0,093477
1,0698	-0,136253	1,0698	0,0126163
1,07	-0,143022	1,07	-0,0721475
1,0702	-0,143554	1,0702	-0,152586
1,0704	-0,138586	1,0704	-0,222039
1,0706	-0,129308	1,0706	-0,276905
1,0708	-0,117229	1,0708	-0,317472
1,071	-0,103998	1,071	-0,348058
1,0712	-0,0912263	1,0712	-0,37631
1,0714	-0,0803018	1,0714	-0,41174
1,0716	-0,0722449	1,0716	-0,463878
1,0718	-0,0676006	1,0718	-0,540158
1,072	-0,0663886	1,072	-0,644138
1,0722	-0,0681145	1,0722	-0,774214
1,0724	-0,0718329	1,0724	-0,923132
1,0726	-0,0762654	1,0726	-1,07854
1,0728	-0,0799503	1,0728	-1,22438
1,073	-0,0814156	1,073	-1,34307
1,0732	-0,0793508	1,0732	-1,41815
1,0734	-0,0727613	1,0734	-1,43702
1,0736	-0,0610866	1,0736	-1,39312
1,0738	-0,0442739	1,0738	-1,28755
1,074	-0,0227903	1,074	-1,12952
1,0742	0,00241187	1,0742	-0,935632
1,0744	0,0299902	1,0744	-0,728078
1,0746	0,0583402	1,0746	-0,532115
1,0748	0,0857592	1,0748	-0,372557
1,075	0,110612	1,075	-0,270606
1,0752	0,131496	1,0752	-0,240812
1,0754	0,147373	1,0754	-0,288701
1,0756	0,157663	1,0756	-0,409831
1,0758	0,162287	1,0758	-0,589972
1,076	0,161654	1,076	-0,80649
1,0762	0,156596	1,0762	-1,03116
1,0764	0,148263	1,0764	-1,23345
1,0766	0,137981	1,0766	-1,38426
1,0768	0,127096	1,0768	-1,4596
1,077	0,116825	1,077	-1,44357
1,0772	0,108121	1,0772	-1,33029
1,0774	0,101587	1,0774	-1,12481
1,0776	0,097421	1,0776	-0,842373
1,0778	0,0954245	1,0778	-0,506492
1,078	0,0950493	1,078	-0,146086
1,0782	0,0954913	1,0782	0,208123
1,0784	0,0958054	1,0784	0,527286
1,0786	0,0950394	1,0786	0,787793
1,0788	0,0923589	1,0788	0,973933
1,079	0,0871543	1,079	1,07944
1,0792	0,0791112	1,0792	1,10776
1,0794	0,0682383	1,0794	1,07111
1,0796	0,054853	1,0796	0,988287
1,0798	0,0395268	1,0798	0,881819
1,08	0,0230074	1,08	0,77463
1,0802	0,00611542	1,0802	0,686868
1,0804	-0,010353	1,0804	0,633213
1,0806	-0,0257241	1,0806	0,621071
1,0808	-0,0395142	1,0808	0,649923
1,081	-0,0514696	1,081	0,711754
1,0812	-0,0615663	1,0812	0,792657
1,0814	-0,0699784	1,0814	0,875162
1,0816	-0,0770206	1,0816	0,941078
1,0818	-0,0830819	1,0818	0,974303
1,082	-0,0885521	1,082	0,963299
1,0822	-0,0937651	1,0822	0,90273
1,0824	-0,0989471	1,0824	0,794224
1,0826	-0,104195	1,0826	0,645983
1,0828	-0,109476	1,0828	0,471516
1,083	-0,114655	1,083	0,287538
1,0832	-0,119539	1,0832	0,111567
1,0834	-0,123923	1,0834	-0,0405999
1,0836	-0,127632	1,0836	-0,156962
1,0838	-0,130547	1,0838	-0,230766
1,084	-0,13261	1,084	-0,261093
1,0842	-0,133815	1,0842	-0,252528
1,0844	-0,134184	1,0844	-0,214013
1,0846	-0,133724	1,0846	-0,157127
1,0848	-0,132394	1,0848	-0,0940561
1,085	-0,130077	1,085	-0,0356502
1,0852	-0,126572	1,0852	0,0101331
1,0854	-0,121617	1,0854	0,0391913
1,0856	-0,114942	1,0856	0,0514311
1,0858	-0,106335	1,0858	0,050278
1,086	-0,0957264	1,086	0,0414826
1,0862	-0,0832651	1,0862	0,0316758
1,0864	-0,0693742	1,0864	0,0267595
1,0866	-0,0547692	1,0866	0,030591
1,0868	-0,0404306	1,0868	0,0441363
1,087	-0,0275247	1,087	0,0652584
1,0872	-0,0172799	1,0872	0,0891845
1,0874	-0,0108296	1,0874	0,109577
1,0876	-0,00904582	1,0876	0,119894
1,0878	-0,0123822	1,0878	0,114948
1,088	-0,0207621	1,088	0,0921804
1,0882	-0,0335238	1,0882	0,0525502
1,0884	-0,0494424	1,0884	0,000748738
1,0886	-0,0668316	1,0886	-0,0552915
1,0888	-0,0837165	1,0888	-0,105574
1,089	-0,098059	1,089	-0,139687
1,0892	-0,108002	1,0892	-0,148687
1,0894	-0,112095	1,0894	-0,126816
1,0896	-0,109485	1,0896	-0,0728614
1,0898	-0,100018	1,0898	0,00925694
1,09	-0,0842711	1,09	0,110609
1,0902	-0,0634801	1,0902	0,218287
1,0904	-0,0393742	1,0904	0,317073
1,0906	-0,013958	1,0906	0,391629
1,0908	0,0107473	1,0908	0,428772
1,091	0,0329539	1,091	0,419571
1,0912	0,0512972	1,0912	0,360863
1,0914	0,0649785	1,0914	0,255982
1,0916	0,0737996	1,0916	0,114531
1,0918	0,0781234	1,0918	-0,0487175
1,092	0,0787735	1,092	-0,215716
1,0922	0,076832	1,0922	-0,367466
1,0924	0,0734783	1,0924	-0,486503
1,0926	0,0697647	1,0926	-0,559161
1,0928	0,0664882	1,0928	-0,577268
1,093	0,064091	1,093	-0,539085
1,0932	0,0626508	1,0932	-0,449341
1,0934	0,0619342	1,0934	-0,318364
1,0936	0,061501	1,0936	-0,160551
1,0938	0,0608282	1,0938	0,00761803
1,094	0,0594575	1,094	0,169781
1,0942	0,0570867	1,0942	0,311585
1,0944	0,053649	1,0944	0,422278
1,0946	0,0493266	1,0946	0,495631
1,0948	0,0445024	1,0948	0,530082
1,095	0,03968	1,095	0,528298
1,0952	0,0353769	1,0952	0,496172
1,0954	0,0319998	1,0954	0,441444
1,0956	0,0297537	1,0956	0,372394
1,0958	0,0285858	1,0958	0,296613
1,096	0,02818	1,096	0,220151
1,0962	0,0279979	1,0962	0,14707
1,0964	0,0273858	1,0964	0,0794558
1,0966	0,0256673	1,0966	0,0177957
1,0968	0,0222759	1,0968	-0,0384448
1,097	0,0168551	1,097	-0,0901061
1,0972	0,00932831	1,0972	-0,137706
1,0974	-6,58E-05	1,0974	-0,181187
1,0976	-0,0107965	1,0976	-0,219769
1,0978	-0,022106	1,0978	-0,252223
1,098	-0,0331133	1,098	-0,277365
1,0982	-0,0429263	1,0982	-0,294505
1,0984	-0,0507629	1,0984	-0,303912
1,0986	-0,0560435	1,0986	-0,307127
1,0988	-0,0584613	1,0988	-0,306835
1,099	-0,058003	1,099	-0,306616
1,0992	-0,0549447	1,0992	-0,310308
1,0994	-0,0497964	1,0994	-0,32119
1,0996	-0,0432322	1,0996	-0,341302
1,0998	-0,0360102	1,0998	-0,370733
1,1	-0,028881	1,1	-0,407371
1,1002	-0,0225204	1,1002	-0,447061
1,1004	-0,017474	1,1004	-0,483935
1,1006	-0,0141233	1,1006	-0,51158
1,1008	-0,0126801	1,1008	-0,523802
1,101	-0,0131966	1,101	-0,515949
1,1012	-0,0155874	1,1012	-0,485784
1,1014	-0,0196652	1,1014	-0,433881
1,1016	-0,0251684	1,1016	-0,363825
1,1018	-0,0317928	1,1018	-0,281655
1,102	-0,0392165	1,102	-0,194583
1,1022	-0,0471126	1,1022	-0,110138
1,1024	-0,0551578	1,1024	-0,0343237
1,1026	-0,0630416	1,1026	0,0293899
1,1028	-0,0704552	1,1028	0,080712
1,103	-0,077099	1,103	0,122916
1,1032	-0,0826839	1,1032	0,162266
1,1034	-0,0869267	1,1034	0,20667
1,1036	-0,0895647	1,1036	0,264332
1,1038	-0,0903592	1,1038	0,341558
1,104	-0,0891081	1,104	0,441153
1,1042	-0,0856614	1,1042	0,561054
1,1044	-0,079934	1,1044	0,693785
1,1046	-0,0719176	1,1046	0,82679
1,1048	-0,0616899	1,1048	0,943824
1,105	-0,0494176	1,105	1,02689
1,1052	-0,0353606	1,1052	1,0591
1,1054	-0,0198582	1,1054	1,02728
1,1056	-0,00331299	1,1056	0,92448
1,1058	0,0138406	1,1058	0,751855
1,106	0,0311766	1,106	0,519237
1,1062	0,0483077	1,1062	0,244701
1,1064	0,0649228	1,1064	-0,0471742
1,1066	0,0808027	1,1066	-0,328214
1,1068	0,0958442	1,1068	-0,570113
1,107	0,110049	1,107	-0,748139
1,1072	0,123511	1,1072	-0,844544
1,1074	0,136371	1,1074	-0,850955
1,1076	0,148756	1,1076	-0,769728
1,1078	0,160719	1,1078	-0,613729
1,108	0,172185	1,108	-0,404646
1,1082	0,182901	1,1082	-0,17022
1,1084	0,19243	1,1084	0,0595891
1,1086	0,20015	1,1086	0,256552
1,1088	0,205301	1,1088	0,397885
1,109	0,207061	1,109	0,46922
1,1092	0,204642	1,1092	0,466176
1,1094	0,197413	1,1094	0,394587
1,1096	0,184991	1,1096	0,269212
1,1098	0,167336	1,1098	0,111115
1,11	0,144808	1,11	-0,0556708
1,1102	0,118157	1,1102	-0,207935
1,1104	0,0884965	1,1104	-0,326725
1,1106	0,0572004	1,1106	-0,400006
1,1108	0,0257715	1,1108	-0,424217
1,111	-0,00430672	1,111	-0,404349
1,1112	-0,0317312	1,1112	-0,352736
1,1114	-0,0555196	1,1114	-0,286729
1,1116	-0,0751066	1,1116	-0,225521
1,1118	-0,090393	1,1118	-0,186912
1,112	-0,101727	1,112	-0,184234
1,1122	-0,109836	1,1122	-0,224139
1,1124	-0,11569	1,1124	-0,305533
1,1126	-0,120353	1,1126	-0,419723
1,1128	-0,124805	1,1128	-0,551828
1,113	-0,129778	1,113	-0,683255
1,1132	-0,135629	1,1132	-0,794548
1,1134	-0,14227	1,1134	-0,868573
1,1136	-0,149152	1,1136	-0,893229
1,1138	-0,155333	1,1138	-0,863251
1,114	-0,15959	1,114	-0,781245
1,1142	-0,160582	1,1142	-0,657281
1,1144	-0,157033	1,1144	-0,507523
1,1146	-0,147921	1,1146	-0,351933
1,1148	-0,132633	1,1148	-0,211581
1,115	-0,111081	1,115	-0,105569
1,1152	-0,0837469	1,1152	-0,0487942
1,1154	-0,0516706	1,1154	-0,0499104
1,1156	-0,0163569	1,1156	-0,110608
1,1158	0,0203571	1,1158	-0,225522
1,116	0,056486	1,116	-0,383452
1,1162	0,0900848	1,1162	-0,568812
1,1164	0,119442	1,1164	-0,76401
1,1166	0,143232	1,1166	-0,951618
1,1168	0,160631	1,1168	-1,11645
1,117	0,171374	1,117	-1,2471
1,1172	0,175743	1,1172	-1,33695
1,1174	0,1745	1,1174	-1,38423
1,1176	0,168787	1,1176	-1,39174
1,1178	0,159973	1,1178	-1,36581
1,118	0,149502	1,118	-1,31501
1,1182	0,138744	1,1182	-1,24874
1,1184	0,128855	1,1184	-1,17589
1,1186	0,120684	1,1186	-1,10372
1,1188	0,114716	1,1188	-1,03726
1,119	0,111056	1,119	-0,978915
1,1192	0,109462	1,1192	-0,928649
1,1194	0,109404	1,1194	-0,884366
1,1196	0,110149	1,1196	-0,842453
1,1198	0,110859	1,1198	-0,798659
1,12	0,110692	1,12	-0,748808
1,1202	0,108893	1,1202	-0,689528
1,1204	0,104864	1,1204	-0,618732
1,1206	0,098221	1,1206	-0,535928
1,1208	0,08881	1,1208	-0,442258
1,121	0,0767162	1,121	-0,340425
1,1212	0,0622414	1,1212	-0,234402
1,1214	0,0458676	1,1214	-0,129038
1,1216	0,0282101	1,1216	-0,0294576
1,1218	0,00996368	1,1218	0,059511
1,122	-0,00815125	1,122	0,133898
1,1222	-0,0254398	1,1222	0,191126
1,1224	-0,0412787	1,1224	0,230238
1,1226	-0,0551521	1,1226	0,25216
1,1228	-0,0666761	1,1228	0,259603
1,123	-0,0756141	1,123	0,256791
1,1232	-0,0818794	1,1232	0,249005
1,1234	-0,0855369	1,1234	0,241902
1,1236	-0,0867896	1,1236	0,240667
1,1238	-0,0859669	1,1238	0,249396
1,124	-0,0834961	1,124	0,270354
1,1242	-0,0798801	1,1242	0,303604
1,1244	-0,075663	1,1244	0,346968
1,1246	-0,0714057	1,1246	0,396089
1,1248	-0,0676519	1,1248	0,44509
1,125	-0,0649016	1,125	0,487276
1,1252	-0,0635793	1,1252	0,516092
1,1254	-0,0640092	1,1254	0,526171
1,1256	-0,0663929	1,1256	0,514125
1,1258	-0,0707939	1,1258	0,479183
1,126	-0,0771293	1,126	0,423441
1,1262	-0,0851686	1,1262	0,351608
1,1264	-0,0945432	1,1264	0,270518
1,1266	-0,104758	1,1266	0,188156
1,1268	-0,115224	1,1268	0,112587
1,127	-0,125282	1,127	0,0508563
1,1272	-0,134248	1,1272	0,00791095
1,1274	-0,141449	1,1274	-0,0140484
1,1276	-0,146281	1,1276	-0,0158951
1,1278	-0,148237	1,1278	-0,00148023
1,128	-0,146963	1,128	0,0230704
1,1282	-0,142269	1,1282	0,0501957
1,1284	-0,134166	1,1284	0,0721734
1,1286	-0,122851	1,1286	0,082295
1,1288	-0,108726	1,1288	0,0759497
1,129	-0,0923557	1,129	0,0513784
1,1292	-0,0744445	1,1292	0,0100318
1,1294	-0,0557844	1,1294	-0,0436477
1,1296	-0,037195	1,1296	-0,102767
1,1298	-0,0194647	1,1298	-0,159059
1,13	-0,00329985	1,13	-0,204058
1,1302	0,0107381	1,1302	-0,230433
1,1304	0,0222678	1,1304	-0,233109
1,1306	0,0311181	1,1306	-0,210112
1,1308	0,0373521	1,1308	-0,162989
1,131	0,0412387	1,131	-0,0966794
1,1312	0,0432362	1,1312	-0,0189801
1,1314	0,0439315	1,1314	0,0604594
1,1316	0,0439841	1,1316	0,131379
1,1318	0,0440509	1,1318	0,184232
1,132	0,0447216	1,132	0,211464
1,1322	0,0464458	1,1322	0,2085
1,1324	0,0494831	1,1324	0,174304
1,1326	0,0538663	1,1326	0,111595
1,1328	0,0594007	1,1328	0,0263952
1,133	0,0656789	1,133	-0,0726583
1,1332	0,0721369	1,1332	-0,175399
1,1334	0,0781204	1,1334	-0,271425
1,1336	0,0829618	1,1336	-0,351268
1,1338	0,0860717	1,1338	-0,407529
1,134	0,0870108	1,134	-0,435662
1,1342	0,0855479	1,1342	-0,434361
1,1344	0,0816984	1,1344	-0,405579
1,1346	0,0757185	1,1346	-0,354119
1,1348	0,0680775	1,1348	-0,286893
1,135	0,0593935	1,135	-0,212035
1,1352	0,050349	1,1352	-0,137807
1,1354	0,0415987	1,1354	-0,0717148
1,1356	0,0336762	1,1356	-0,0196606
1,1358	0,0269262	1,1358	0,0146007
1,136	0,0214536	1,136	0,0296531
1,1362	0,0171172	1,1362	0,0264296
1,1364	0,0135535	1,1364	0,00787766
1,1366	0,0102423	1,1366	-0,0216174
1,1368	0,00659089	1,1368	-0,0567851
1,137	0,0020402	1,137	-0,0921881
1,1372	-0,00384031	1,1372	-0,122762
1,1374	-0,0112677	1,1374	-0,144227
1,1376	-0,0201934	1,1376	-0,15337
1,1378	-0,0302861	1,1378	-0,148128
1,138	-0,0409605	1,138	-0,127518
1,1382	-0,0514436	1,1382	-0,0915615
1,1384	-0,0608721	1,1384	-0,0410244
1,1386	-0,0684075	1,1386	0,0226474
1,1388	-0,0733477	1,1388	0,0974735
1,139	-0,0752229	1,139	0,180907
1,1392	-0,0738645	1,1392	0,269783
1,1394	-0,06943	1,1394	0,360213
1,1396	-0,0623908	1,1396	0,447563
1,1398	-0,0534715	1,1398	0,526457
1,14	-0,0435629	1,14	0,591059
1,1402	-0,0336093	1,1402	0,635455
1,1404	-0,0244965	1,1404	0,654303
1,1406	-0,0169495	1,1406	0,643593
1,1408	-0,0114571	1,1408	0,601445
1,141	-0,00822947	1,141	0,528821
1,1412	-0,00719758	1,1412	0,42999
1,1414	-0,00804551	1,1414	0,312612
1,1416	-0,0102748	1,1416	0,18739
1,1418	-0,0132877	1,1418	0,0671495
1,142	-0,0164738	1,142	-0,0344793
1,1422	-0,0192913	1,1422	-0,104752
1,1424	-0,0213277	1,1424	-0,133647
1,1426	-0,0223359	1,1426	-0,115527
1,1428	-0,0222385	1,1428	-0,0504337
1,143	-0,0211111	1,143	0,0553161
1,1432	-0,0191422	1,1432	0,189402
1,1434	-0,0165844	1,1434	0,33462
1,1436	-0,0137055	1,1436	0,470952
1,1438	-0,0107462	1,1438	0,578084
1,144	-0,0078927	1,144	0,638352
1,1442	-0,00526981	1,1442	0,63964
1,1444	-0,00294893	1,1444	0,577637
1,1446	-0,000972912	1,1446	0,457345
1,1448	0,000616417	1,1448	0,293252
1,145	0,00175193	1,145	0,108082
1,1452	0,00232885	1,1452	-0,0696481
1,1454	0,00220751	1,1454	-0,209156
1,1456	0,00123245	1,1456	-0,281471
1,1458	-0,000731788	1,1458	-0,263574
1,146	-0,00375963	1,146	-0,142083
1,1462	-0,00781537	1,1462	0,0840254
1,1464	-0,0127171	1,1464	0,40236
1,1466	-0,0181126	1,1466	0,787595
1,1468	-0,0234868	1,1468	1,20387
1,147	-0,0281972	1,147	1,60868
1,1472	-0,0315386	1,1472	1,95765
1,1474	-0,0328224	1,1474	2,20975
1,1476	-0,0314694	1,1476	2,33243
1,1478	-0,0270893	1,1478	2,30559
1,148	-0,0195465	1,148	2,12432
1,1482	-0,00900056	1,1482	1,79981
1,1484	0,00410475	1,1484	1,35816
1,1486	0,0190786	1,1486	0,837576
1,1488	0,0350718	1,1488	0,283996
1,149	0,0511831	1,149	-0,25391
1,1492	0,0665777	1,1492	-0,730218
1,1494	0,0805987	1,1494	-1,10646
1,1496	0,0928485	1,1496	-1,35553
1,1498	0,10324	1,1498	-1,46406
1,15	0,111981	1,15	-1,43306
1,1502	0,119537	1,1502	-1,27697
1,1504	0,126518	1,1504	-1,02127
1,1506	0,133562	1,1506	-0,698849
1,1508	0,141191	1,1508	-0,346005
1,151	0,14969	1,151	0,00175787
1,1512	0,15901	1,1512	0,313454
1,1514	0,168733	1,1514	0,56544
1,1516	0,178079	1,1516	0,74324
1,1518	0,185992	1,1518	0,842069
1,152	0,191255	1,152	0,866255
1,1522	0,192652	1,1522	0,827635
1,1524	0,189139	1,1524	0,743302
1,1526	0,180001	1,1526	0,632883
1,1528	0,164971	1,1528	0,515876
1,153	0,144292	1,153	0,409193
1,1532	0,118712	1,1532	0,325211
1,1534	0,0894145	1,1534	0,270615
1,1536	0,0578928	1,1536	0,245897
1,1538	0,0257824	1,1538	0,245786
1,154	-0,0053213	1,154	0,260296
1,1542	-0,0340361	1,1542	0,276366
1,1544	-0,059337	1,1544	0,279884
1,1546	-0,0806357	1,1546	0,257804
1,1548	-0,0978099	1,1548	0,200176
1,155	-0,111157	1,155	0,101857
1,1552	-0,121304	1,1552	-0,0364421
1,1554	-0,129066	1,1554	-0,207735
1,1556	-0,135293	1,1556	-0,399223
1,1558	-0,140719	1,1558	-0,593578
1,156	-0,145833	1,156	-0,77089
1,1562	-0,150806	1,1562	-0,911099
1,1564	-0,155465	1,1564	-0,996773
1,1566	-0,159317	1,1566	-1,01555
1,1568	-0,161631	1,1568	-0,96235
1,157	-0,161554	1,157	-0,84057
1,1572	-0,158233	1,1572	-0,66243
1,1574	-0,150951	1,1574	-0,44785
1,1576	-0,139232	1,1576	-0,222579
1,1578	-0,122915	1,1578	-0,0149908
1,158	-0,102184	1,158	0,147326
1,1582	-0,0775524	1,1582	0,241443
1,1584	-0,0498167	1,1584	0,252214
1,1586	-0,0199658	1,1586	0,175023
1,1588	0,0109142	1,1588	0,0166815
1,159	0,0417437	1,159	-0,204673
1,1592	0,0715377	1,1592	-0,461632
1,1594	0,0994753	1,1594	-0,720751
1,1596	0,124935	1,1596	-0,946901
1,1598	0,147508	1,1598	-1,10783
1,16	0,166976	1,16	-1,17883
1,1602	0,183276	1,1602	-1,14618
1,1604	0,196441	1,1604	-1,00949
1,1606	0,206558	1,1606	-0,782078
1,1608	0,213708	1,1608	-0,489586
1,161	0,217947	1,161	-0,166685
1,1612	0,219278	1,1612	0,147379
1,1614	0,217664	1,1614	0,414098
1,1616	0,213041	1,1616	0,60097
1,1618	0,205358	1,1618	0,685916
1,162	0,194612	1,162	0,660377
1,1622	0,180892	1,1622	0,530531
1,1624	0,164407	1,1624	0,316308
1,1626	0,145505	1,1626	0,0485996
1,1628	0,124676	1,1628	-0,235162
1,163	0,102537	1,163	-0,496454
1,1632	0,0797966	1,1632	-0,701051
1,1634	0,0572151	1,1634	-0,823908
1,1636	0,0355505	1,1636	-0,852692
1,1638	0,0154979	1,1638	-0,789232
1,164	-0,00235895	1,164	-0,649093
1,1642	-0,0175945	1,1642	-0,458944
1,1644	-0,0299642	1,1644	-0,252278
1,1646	-0,0394227	1,1646	-0,0642392
1,1648	-0,0461131	1,1648	0,073929
1,165	-0,0503491	1,165	0,13977
1,1652	-0,0525774	1,1652	0,123064
1,1654	-0,0533381	1,1654	0,0276514
1,1656	-0,0532053	1,1656	-0,129163
1,1658	-0,0527455	1,1658	-0,319101
1,166	-0,0524668	1,166	-0,507051
1,1662	-0,0527836	1,1662	-0,656429
1,1664	-0,053988	1,1664	-0,73469
1,1666	-0,0562358	1,1666	-0,71824
1,1668	-0,0595364	1,1668	-0,596311
1,167	-0,0637615	1,167	-0,37281
1,1672	-0,0686576	1,1672	-0,0660763
1,1674	-0,0738748	1,1674	0,293145
1,1676	-0,078993	1,1676	0,665912
1,1678	-0,0835634	1,1678	1,01011
1,168	-0,0871491	1,168	1,28596
1,1682	-0,0893687	1,1682	1,46135
1,1684	-0,0899417	1,1684	1,51576
1,1686	-0,0887324	1,1686	1,4428
1,1688	-0,0857783	1,1688	1,25096
1,169	-0,0813135	1,169	0,962055
1,1692	-0,0757659	1,1692	0,608518
1,1694	-0,0697382	1,1694	0,228977
1,1696	-0,0639569	1,1696	-0,136747
1,1698	-0,059206	1,1698	-0,45223
1,17	-0,0562359	1,17	-0,688908
1,1702	-0,0556656	1,1702	-0,828827
1,1704	-0,0578856	1,1704	-0,86615
1,1706	-0,0629782	1,1706	-0,807215
1,1708	-0,0706639	1,1708	-0,668814
1,171	-0,0802942	1,171	-0,475598
1,1712	-0,0908906	1,1712	-0,256561
1,1714	-0,101235	1,1714	-0,0411644
1,1716	-0,110002	1,1716	0,144027
1,1718	-0,115919	1,1718	0,278346
1,172	-0,11794	1,172	0,348877
1,1722	-0,115393	1,1722	0,35125
1,1724	-0,108102	1,1724	0,289545
1,1726	-0,096429	1,1726	0,174979
1,1728	-0,0812591	1,1728	0,0240931
1,173	-0,0638939	1,173	-0,143516
1,1732	-0,0458853	1,1732	-0,307779
1,1734	-0,0288171	1,1734	-0,450216
1,1736	-0,0140712	1,1736	-0,555891
1,1738	-0,00260898	1,1738	-0,614664
1,174	0,0051912	1,174	-0,621818
1,1742	0,00961519	1,1742	-0,578183
1,1744	0,0115887	1,1744	-0,489602
1,1746	0,0125473	1,1746	-0,366028
1,1748	0,0142108	1,1748	-0,220382
1,175	0,0183043	1,175	-0,0671195
1,1752	0,0262367	1,1752	0,0790813
1,1754	0,0388345	1,1754	0,204602
1,1756	0,0561131	1,1756	0,298095
1,1758	0,0771834	1,1758	0,351271
1,176	0,100278	1,176	0,359579
1,1762	0,122928	1,1762	0,322487
1,1764	0,142249	1,1764	0,243487
1,1766	0,155334	1,1766	0,129722
1,1768	0,159654	1,1768	-0,00859655
1,177	0,153462	1,177	-0,159162
1,1772	0,136091	1,1772	-0,30867
1,1774	0,108133	1,1774	-0,444087
1,1776	0,0714536	1,1776	-0,553909
1,1778	0,0290228	1,1778	-0,629393
1,178	-0,015394	1,178	-0,665491
1,1782	-0,0576561	1,1782	-0,66149
1,1784	-0,0937599	1,1784	-0,621194
1,1786	-0,120277	1,1786	-0,552566
1,1788	-0,134816	1,1788	-0,466932
1,179	-0,136291	1,179	-0,377724
1,1792	-0,12505	1,1792	-0,298916
1,1794	-0,102835	1,1794	-0,243346
1,1796	-0,0725378	1,1796	-0,221081
1,1798	-0,037839	1,1798	-0,238044
1,18	-0,00277685	1,18	-0,295189
1,1802	0,028741	1,1802	-0,388215
1,1804	0,0533587	1,1804	-0,507992
1,1806	0,0686255	1,1806	-0,641636
1,1808	0,0732286	1,1808	-0,774065
1,181	0,0670471	1,181	-0,889902
1,1812	0,0511052	1,1812	-0,975464
1,1814	0,0273391	1,1814	-1,02049
